GsID,AOS,DURATION,LOS,SatID,AOSOffset,LOSOffset,Eclipse
KSAT_SVALBARD_FF,2024-07-01 06:03:31,181.13659317740016,2024-07-01 06:06:32,0,211.65116042734587,392.78775360474606,0
PuntaArenas_FF,2024-07-01 11:10:21,330.7255024729208,2024-07-01 11:15:52,0,18621.302396874766,18952.027899347686,0
PuntaArenas_FF,2024-07-01 15:41:23,241.07028018160975,2024-07-01 15:45:24,4,34883.55482930127,35124.62510948288,1
Mauritius_FF,2024-07-01 12:58:48,474.16719307051875,2024-07-01 13:06:43,4,25128.85726059919,25603.02445366971,0
Awarua_FF,2024-07-01 14:26:04,251.85855248269965,2024-07-01 14:30:16,2,30364.4864837315,30616.3450362142,0
Mauritius_FF,2024-07-01 08:19:20,463.9052592900876,2024-07-01 08:27:03,1,8360.03081212877,8823.936071418859,0
KSAT_SVALBARD_FF,2024-07-01 13:44:22,183.0591266037917,2024-07-01 13:47:25,4,27862.004786491285,28045.063913095077,0
PuntaArenas_FF,2024-07-01 15:34:27,209.89680552828457,2024-07-01 15:37:57,0,34467.590239589576,34677.48704511786,0
KSAT_SVALBARD_FF,2024-07-01 09:38:56,370.4792750438995,2024-07-01 09:45:06,2,13136.167965123599,13506.647240167498,0
PuntaArenas_FF,2024-07-01 10:31:34,450.23350241241707,2024-07-01 10:39:04,2,16294.395617523076,16744.629119935493,0
Mauritius_FF,2024-07-01 16:53:09,436.19587845009283,2024-07-01 17:00:25,1,39189.41794016294,39625.61381861303,0
PuntaArenas_FF,2024-07-01 12:57:38,247.46805282924748,2024-07-01 13:01:46,5,25058.875191158935,25306.343243988184,0
KSAT_SVALBARD_FF,2024-07-01 13:30:38,457.3696915249633,2024-07-01 13:38:15,2,27038.179204344324,27495.548895869288,1
PuntaArenas_FF,2024-07-01 11:51:08,290.3525961349106,2024-07-01 11:55:58,1,21068.205008325098,21358.55760446001,0
KSAT_SVALBARD_FF,2024-07-01 14:10:05,278.0622499565719,2024-07-01 14:14:43,0,29405.67620069249,29683.738450649063,1
Mauritius_FF,2024-07-01 06:51:23,410.2104201479081,2024-07-01 06:58:13,0,3083.1473595899533,3493.3577797378616,0
Mauritius_FF,2024-07-01 17:48:37,312.2256795685803,2024-07-01 17:53:49,3,42517.54745152173,42829.77313109031,0
KSAT_SVALBARD_FF,2024-07-01 11:10:06,267.02282589139526,2024-07-01 11:14:33,1,18606.47547797031,18873.498303861707,0
Mauritius_FF,2024-07-01 14:59:10,457.56514860799797,2024-07-01 15:06:47,0,32350.37525003723,32807.94039864522,1
Mauritius_FF,2024-07-01 10:13:57,237.8902020207772,2024-07-01 10:17:55,4,15237.533873836435,15475.424075857212,0
Mauritius_FF,2024-07-01 16:43:32,344.3661316601965,2024-07-01 16:49:17,0,38612.88835225523,38957.25448391542,0
KSAT_SVALBARD_FF,2024-07-01 06:53:24,457.14738769286475,2024-07-01 07:01:01,1,3204.308236234431,3661.455623927296,0
KSAT_SVALBARD_FF,2024-07-01 14:20:08,218.59486994875564,2024-07-01 14:23:47,4,30008.545332603502,30227.14020255226,1
Mauritius_FF,2024-07-01 06:46:09,245.4819897355428,2024-07-01 06:50:14,2,2769.355223347853,3014.837213083396,1
PuntaArenas_FF,2024-07-01 16:54:36,393.29782331351294,2024-07-01 17:01:09,4,39276.11825940775,39669.41608272126,1
Mauritius_FF,2024-07-01 09:10:11,282.68094424587866,2024-07-01 09:14:53,5,11411.098910953395,11693.779855199273,0
PuntaArenas_FF,2024-07-01 15:38:31,447.4681650253443,2024-07-01 15:45:58,1,34711.39421526366,35158.86238028901,0
Mauritius_FF,2024-07-01 06:57:23,407.67499307650814,2024-07-01 07:04:11,1,3443.567279981469,3851.242273057977,0
KSAT_SVALBARD_FF,2024-07-01 17:51:08,313.06921043096776,2024-07-01 17:56:21,3,42668.132030758185,42981.201241189156,0
PuntaArenas_FF,2024-07-01 08:47:21,418.46706655724256,2024-07-01 08:54:19,4,10041.445540047695,10459.912606604938,0
KSAT_SVALBARD_FF,2024-07-01 07:42:54,341.82525632352593,2024-07-01 07:48:35,5,6174.131640983958,6515.956897307484,0
KSAT_SVALBARD_FF,2024-07-01 10:11:11,470.96740376928,2024-07-01 10:19:02,4,15071.375254560204,15542.342658329484,0
PuntaArenas_FF,2024-07-01 07:08:03,257.8288368928267,2024-07-01 07:12:21,1,4083.743319467781,4341.572156360608,0
PuntaArenas_FF,2024-07-01 06:04:27,443.5112119759475,2024-07-01 06:11:50,4,267.45405353381653,710.9652655097641,0
Mauritius_FF,2024-07-01 16:37:45,418.51549866168295,2024-07-01 16:44:44,2,38265.93079660957,38684.44629527126,1
Mauritius_FF,2024-07-01 09:30:20,269.43264080759275,2024-07-01 09:34:50,5,12620.957226741795,12890.389867549387,1
KSAT_SVALBARD_FF,2024-07-01 17:32:47,432.2972516225004,2024-07-01 17:40:00,1,41567.949594823636,42000.246846446134,1
Awarua_FF,2024-07-01 07:29:52,250.3108378329605,2024-07-01 07:34:02,2,5392.267847924071,5642.578685757032,1
Mauritius_FF,2024-07-01 07:17:29,329.62486932002446,2024-07-01 07:22:59,2,4649.750338104415,4979.375207424439,0
Awarua_FF,2024-07-01 06:54:12,383.37527358633906,2024-07-01 07:00:36,4,3252.822801274832,3636.198074861171,0
Mauritius_FF,2024-07-01 13:31:39,417.4409626444135,2024-07-01 13:38:37,2,27099.61990239406,27517.060865038475,1
KSAT_SVALBARD_FF,2024-07-01 06:13:38,199.0155287725388,2024-07-01 06:16:57,5,818.0471366794604,1017.0626654519992,1
KSAT_SVALBARD_FF,2024-07-01 14:47:24,226.63160603360296,2024-07-01 14:51:11,3,31644.53946482574,31871.171070859342,1
Awarua_FF,2024-07-01 06:06:18,268.81431519344153,2024-07-01 06:10:47,5,378.4218506528864,647.2361658463279,1
KSAT_SVALBARD_FF,2024-07-01 14:46:09,368.21021357636687,2024-07-01 14:52:17,1,31569.44632695519,31937.656540531556,0
Awarua_FF,2024-07-01 13:19:24,250.54164742288003,2024-07-01 13:23:35,2,26364.97859584538,26615.52024326826,0
Mauritius_FF,2024-07-01 11:03:25,300.6467998418316,2024-07-01 11:08:25,1,18205.25204582831,18505.89884567014,1
KSAT_SVALBARD_FF,2024-07-01 11:28:12,442.56579165350087,2024-07-01 11:35:35,4,19692.5132287641,20135.0790204176,1
Mauritius_FF,2024-07-01 14:23:15,182.513654643808,2024-07-01 14:26:18,1,30195.72162307872,30378.235277722528,1
KSAT_SVALBARD_FF,2024-07-01 17:52:15,295.89934171440655,2024-07-01 17:57:11,2,42735.14248002378,43031.04182173819,0
Mauritius_FF,2024-07-01 12:51:28,317.980635582286,2024-07-01 12:56:46,2,24688.056042531356,25006.036678113644,0
KSAT_SVALBARD_FF,2024-07-01 06:00:47,460.59355141234977,2024-07-01 06:08:28,2,47.73305184682249,508.32660325917226,0
KSAT_SVALBARD_FF,2024-07-01 12:20:28,293.9226494258921,2024-07-01 12:25:22,5,22828.93318381872,23122.855833244612,0
KSAT_SVALBARD_FF,2024-07-01 06:04:35,289.72627520140855,2024-07-01 06:09:24,1,275.2154000315568,564.9416752329653,1
Awarua_FF,2024-07-01 07:03:41,206.20238761335344,2024-07-01 07:07:07,2,3821.2889548493768,4027.4913424627302,0
Mauritius_FF,2024-07-01 06:55:24,411.6609951129239,2024-07-01 07:02:16,5,3324.8510579526296,3736.5120530655536,1
KSAT_SVALBARD_FF,2024-07-01 15:03:42,442.07435483857745,2024-07-01 15:11:04,1,32622.575327075727,33064.64968191431,1
PuntaArenas_FF,2024-07-01 16:33:33,190.3191692634332,2024-07-01 16:36:43,0,38013.62988588401,38203.949055147445,0
PuntaArenas_FF,2024-07-01 08:57:23,295.1987322677288,2024-07-01 09:02:18,3,10643.520214636772,10938.7189469045,0
